Age,YearsExperience,Salary,EducationYears,CertificationsCount,HoursWorkedPerWeek,HasMBA,Department,PerformanceRating,PositionLevel
50,0,30000,12,0,32,No,HR,Medium,Mid
36,34,97306,11,1,44,No,HR,Low,Senior
29,13,41646,18,0,52,No,HR,High,Junior
42,2,45843,19,2,43,Sí,Finance,High,Senior
40,0,15735,15,0,40,No,IT,High,Lead
44,4,41371,19,3,44,No,HR,Medium,Junior
32,25,102371,12,1,57,No,IT,Medium,Mid
32,13,27049,17,3,42,No,Finance,High,Mid
45,26,156616,17,4,47,No,Marketing,Medium,Lead
57,8,34932,11,7,55,Sí,HR,Low,Mid
45,14,54855,15,5,35,No,HR,High,Junior
24,14,86434,16,1,32,Sí,IT,Low,Junior
43,25,97694,11,1,48,No,Marketing,Low,Junior
23,12,68016,19,3,44,No,Marketing,High,Senior
45,31,32400,11,2,54,Sí,Finance,High,Junior
51,31,67642,19,2,52,No,Sales,Low,Mid
59,3,4151,10,1,34,No,Marketing,Medium,Senior
23,29,76407,17,3,57,Sí,HR,High,Senior
42,22,91690,10,3,39,No,IT,High,Lead
54,14,29499,18,2,36,No,IT,Low,Junior
33,28,31295,15,1,54,Sí,Marketing,Low,Junior
43,12,84040,16,2,46,Sí,HR,Medium,Senior
46,31,37183,19,2,36,Sí,IT,High,Mid
48,6,5499,16,1,51,Sí,Marketing,High,Lead
49,21,37874,19,0,55,Sí,HR,Low,Mid
37,27,57711,12,0,59,Sí,Sales,High,Junior
36,1,30539,11,5,41,Sí,Sales,High,Mid
24,5,78351,18,1,54,Sí,Finance,Low,Senior
58,27,86267,17,0,46,No,Sales,Medium,Lead
28,27,73354,19,2,42,No,HR,Medium,Junior
42,19,27557,16,2,49,Sí,HR,Low,Lead
30,29,63360,18,3,54,No,IT,High,Mid
39,10,107018,13,7,33,No,Sales,Low,Junior
25,27,27200,13,1,39,No,HR,Medium,Mid
46,24,93497,10,2,32,Sí,Finance,High,Senior
35,32,71975,17,1,38,No,IT,Medium,Lead
30,0,46357,12,3,42,No,Sales,Medium,Lead
47,26,102505,16,3,47,No,IT,High,Senior
23,12,27869,11,2,44,Sí,Finance,Low,Junior
41,2,86135,11,1,33,No,Marketing,Low,Lead
49,5,75108,16,1,44,Sí,Finance,Low,Senior
28,7,119179,15,3,51,Sí,Sales,High,Junior
29,26,115272,12,3,31,No,IT,High,Mid
56,8,63467,18,2,44,No,Marketing,Low,Lead
35,32,48328,19,4,37,No,Sales,Medium,Senior
38,23,116412,15,1,37,Sí,Marketing,Low,Lead
57,14,111831,19,4,46,No,HR,High,Lead
25,31,28987,19,1,41,No,HR,High,Senior
23,31,83871,15,3,48,No,IT,High,Lead
27,23,47399,10,3,39,No,IT,Low,Senior
25,11,71214,13,1,38,Sí,Sales,High,Mid
50,1,111416,19,1,34,Sí,Marketing,Medium,Senior
39,2,95271,15,2,35,Sí,Sales,Low,Lead
47,16,69064,15,1,49,No,IT,Medium,Mid
55,1,95091,14,1,55,No,Sales,Low,Lead
31,1,65818,10,0,31,Sí,Marketing,High,Lead
57,27,70525,17,1,56,No,IT,High,Lead
35,22,44830,14,2,53,Sí,IT,Low,Junior
52,31,42429,14,0,56,No,IT,High,Senior
36,32,31893,16,4,42,No,IT,High,Senior
29,0,104909,13,2,35,No,Finance,High,Senior
35,18,72333,15,4,34,Sí,Sales,Low,Lead
44,1,28436,13,4,54,Sí,Sales,Medium,Junior
42,25,99290,12,0,30,No,Finance,High,Junior
37,31,101213,16,0,50,Sí,IT,Low,Junior
39,5,30895,17,0,51,Sí,Sales,High,Senior
45,31,44738,13,0,50,No,IT,Low,Lead
47,3,55746,11,5,35,Sí,HR,Medium,Mid
46,10,74377,19,2,35,Sí,Marketing,High,Junior
50,16,73404,12,1,52,No,Sales,Low,Junior
36,23,79045,10,1,45,Sí,HR,High,Lead
22,4,64790,17,2,33,No,Finance,Medium,Lead
46,33,30600,12,1,59,No,Marketing,Medium,Lead
28,5,119660,19,3,40,No,Marketing,Medium,Senior
30,21,118179,16,2,59,No,Marketing,Medium,Senior
45,10,65764,19,3,59,Sí,HR,Low,Mid
22,15,99543,14,6,59,Sí,Sales,Medium,Lead
29,32,70714,19,2,53,Sí,Marketing,Medium,Junior
45,8,81835,14,4,52,Sí,Sales,Medium,Lead
32,5,98744,16,3,38,No,HR,Medium,Junior
38,15,81491,18,2,52,Sí,Sales,Medium,Lead
29,28,43589,14,0,32,No,Finance,High,Lead
56,2,68484,10,2,48,Sí,Sales,Low,Senior
56,19,107989,19,2,37,Sí,Finance,Medium,Lead
54,18,61212,19,2,34,No,Finance,Medium,Mid
26,25,68525,10,1,33,No,HR,High,Senior
49,2,72202,11,3,53,No,Sales,Low,Mid
28,18,57635,15,2,35,Sí,Marketing,Medium,Mid
30,19,88208,18,2,31,No,Finance,Medium,Mid
29,31,58828,17,0,49,Sí,Finance,Low,Lead
33,6,43711,14,2,57,No,IT,High,Mid
55,32,28420,10,1,40,Sí,IT,Medium,Junior
54,17,25301,16,1,33,No,HR,Medium,Senior
44,0,70236,14,0,44,Sí,IT,Medium,Senior
45,10,91235,15,3,35,Sí,Finance,Medium,Mid
58,27,79240,16,1,51,No,HR,Low,Senior
56,24,90726,12,1,46,Sí,HR,Medium,Junior
43,22,35492,19,4,59,No,IT,High,Senior
48,30,31102,12,3,53,No,IT,High,Lead
56,29,75336,14,1,35,Sí,Sales,Medium,Senior
